title,channel,publish_date,category_id,view_count,like_count,comment_count
Our FIRST UPDATE Of Fortnite SIMPSONS!,Top5Gaming,2025-11-11T20:05:34Z,20,486144,9235,343
ARC Raiders NEW Patch Update & New DUO Matchmaking!,WiLLiSGaming,2025-11-12T13:44:46Z,20,133825,5637,1719
NEW *FIVE GUN* UPDATE in Fortnite!,TG Plays,2025-11-12T02:25:00Z,20,302714,5821,275
I Built the ULTIMATE BAKERY in 99 NIGHTS!,Aphmau Shuki,2025-11-12T21:43:29Z,20,29513,1274,149
I SECRETLY Lived In Toxic Players Base in 99 Nights in the Forest!,MICHAEL,2025-11-12T21:24:53Z,20,20276,742,165
HUNGRY SNAKE is following me... (Gmod Sandbox),SHOOTABIRDIE,2025-11-12T19:13:07Z,20,44700,1015,39
Z-TEAM ASSEMBLE! | Dispatch Episodes 7-8 (FINALE),YaBoyRoshi Gaming,2025-11-12T20:47:33Z,20,34730,1952,211
I Built a VENDING MACHINE in Steal a Brainrot!,Lia Roblox,2025-11-12T21:30:20Z,20,29685,1088,245
"MANSIONS TEASER MISSIONS, FREE CAR, FREE BUSINESS + MORE! GTA Online Weekly Update",TGG,2025-11-12T22:56:01Z,20,32258,3753,308
"Hello everyone, I'm Marketpricer! | TCG Card Shop Simulator [7]",GameGrumps,2025-11-12T18:00:52Z,20,48772,3679,326
THE BOYS GO ON A ROADTRIP!,The Boys Gaming,2025-11-11T17:00:07Z,20,299034,17562,866
Magnus Carlsen is absolutely horrifying.,GothamChess,2025-11-12T20:30:02Z,24,81575,4588,452
THERES NO WAY ITS ACTUALLY OVER | Amanda The Adventurer 3 (Full Game),Kubz Scouts,2025-11-11T07:55:41Z,20,397775,25839,1399
"The Worst ""Scary"" Games I Could Find",Chad Chad,2025-11-11T21:36:06Z,23,363382,36736,1452
Say Goodbye to Treasure Hunter,RuneScape,2025-11-12T17:00:18Z,20,56383,6268,1673
Sonic Racing: CrossWorlds - New Free Characters Update,Sonic the Hedgehog,2025-11-11T22:26:13Z,20,358421,33467,6229
"Rock, Paper, Scissors Builds My Team",YoBoy PIZZA,2025-11-11T22:32:06Z,17,154176,4741,676
Kpop Demon Hunters Visit WATER PARK In Roblox!!,KPop Friends,2025-11-12T23:00:40Z,20,19357,490,48
When Steal A Brainrots Meet Their Parents For The First Time...,Techy Plays,2025-11-12T21:15:02Z,20,27568,1015,229
THE SUPER MARIO GALAXY MOVIE - All Clips 4K,ProsafiaGaming,2025-11-12T14:42:29Z,20,110307,4049,412
What if I told you they're still making Jurassic World games?,zanny,2025-11-12T16:00:04Z,20,145185,15029,1055
Is Bethesda Taking TOO LONG With Elder Scrolls 6?,gameranx,2025-11-12T17:31:15Z,20,82153,4549,1954
DISPATCH Episode 7 & 8 Full Walkthrough | SPOILERS,Kakuchopurei,2025-11-12T22:23:45Z,20,24219,1732,169
Peak But Bing Bong Predicts The Future...,Bigpuffer,2025-11-12T20:30:01Z,20,39730,3318,62
LOCKED IN,IShowSpeed,2025-11-11T03:28:44Z,20,2353836,76870,2075
Need More ENERGY!,Maizen,2025-11-12T11:00:00Z,20,295434,2464,282
"Every Time I Crash, My Police Car Evolves in GTA 5",SpeirsTheAmazingHD,2025-11-12T20:40:59Z,20,26369,1012,78
FRIENDING EVERYONE ON ROBLOX! 🔥,Brandon302,2025-11-13T00:48:40Z,20,129393,2183,24
BLAST R6 | Munich Major - Day 5,Rainbow Six Esports,2025-11-12T22:52:24Z,20,149016,2118,21
THE IGNITED FOXY MOD DESTROYED MY SANITY?!,ZarDie Zayne,2025-11-12T18:00:11Z,20,58900,3887,369
"UNBELIEVABLE - I Hit The MASSIVE JACKPOT Nobody Thought Was Possible!""",NG Slot,2025-11-12T19:30:02Z,24,39090,1958,124
The Return of Pam | Monster Factory,The McElroy Family,2025-11-12T15:00:14Z,20,45694,7342,1075
Techy Family Vs Emma Family In Fortnite Bed Wars...,Techy,2025-11-12T13:00:04Z,20,87752,1921,137
I'M MASSIVELY GIANT! *NEW STACK RECORD!*,Thebausffs,2025-11-12T15:00:54Z,20,227653,9755,283
I Found The OLDEST Brainrot In Steal A Brainrot!,KAYE MOVIES,2025-11-11T15:59:00Z,20,986426,8333,1138
I Secretly Added POPPY PLAYTIME to Minecraft,BeckBroJack,2025-11-12T20:30:04Z,20,27162,1325,173
"Why TRAPPER is the PERFECT 21,900 IQ role to expose impostors...",Disguised Toast,2025-11-12T02:41:47Z,20,213131,10478,301
